trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-87.91832920480043,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-151.36755985791447,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-154.4405692793124,"{0: 23, 1: 2, 2: 5, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-24.3392514016014,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-188.00261480832222,"{0: 22, 1: 2, 2: 8, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-73.86676155550255,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-261.59241048131776,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,0.9582912914921211,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-27.127665014485675,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,2,-13.232963590890716,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-82.11103333244866,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,0.4486792763502738,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-13.3490031548273,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-66.81233959654782,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,22.408504148880876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-15.420423791372468,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,8,22.2185709855208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,5,-5.578180505963861,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,9.330253369616667,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,14,-5.579113301541686,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",35,25,18.769430730165155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,6,29.611910586674263,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,27.815014009134035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,12,17.94577288493969,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,16.27172927668604,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,13,11.681420941562314,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,21.20171018928005,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,10.93466227783064,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,15,3.0859521943138275,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,15,8.498900677397902,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
