trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.58, 'e': 1.0}",20,0,-96.52586219181849,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5599999999999999, 'e': 0.9801986733067553}",20,9,-26.886818353943692,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5399999999999999, 'e': 0.9607894391523232}",25,0,-176.97374971431262,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5199999999999999, 'e': 0.9417645335842487}",35,0,-253.1160648644525,"{0: 16, 1: 4, 2: 11, 3: 1, 4: 3}",0
5,False,"{'a': 0.4999999999999999, 'e': 0.9231163463866358}",20,3,-62.808235402196765,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
6,False,"{'a': 0.47999999999999987, 'e': 0.9048374180359595}",35,0,-192.1640078699115,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
7,False,"{'a': 0.45999999999999985, 'e': 0.8869204367171575}",25,0,-101.37470184029293,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.43999999999999984, 'e': 0.8693582353988059}",20,0,-73.7691993865166,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
9,False,"{'a': 0.4199999999999998, 'e': 0.8521437889662113}",30,0,-62.60491822439468,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.3999999999999998, 'e': 0.835270211411272}",20,0,-51.67659966530259,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.3799999999999998, 'e': 0.8187307530779818}",35,20,-33.508552169482925,"{0: 11, 1: 0, 2: 3, 3: 1, 4: 0}",1
12,False,"{'a': 0.35999999999999976, 'e': 0.8025187979624785}",30,0,-79.06820839494355,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
13,False,"{'a': 0.33999999999999975, 'e': 0.7866278610665535}",20,0,-29.13637652907949,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.31999999999999973, 'e': 0.7710515858035663}",20,0,-54.24142040584928,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.2999999999999997, 'e': 0.7557837414557255}",30,0,-35.48276783348048,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.2799999999999997, 'e': 0.7408182206817179}",20,0,-69.9035944320882,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
17,False,"{'a': 0.2599999999999997, 'e': 0.7261490370736909}",30,0,-50.00127241151528,"{0: 22, 1: 1, 2: 7, 3: 0, 4: 0}",0
18,False,"{'a': 0.23999999999999969, 'e': 0.7117703227626097}",20,0,-69.24028122781993,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.2199999999999997, 'e': 0.697676326071031}",25,15,-64.82259063196945,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.1999999999999997, 'e': 0.6838614092123558}",20,0,-41.711714395411896,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
