trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-173.7095551710623,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.2311640237184,"{0: 14, 1: 7, 2: 5, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.36549750002602,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.02766931458461,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-201.4156094577115,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 4}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.07191228275252,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-135.78312781414235,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-147.75046762000164,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.07300947156176,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,10,-16.98081215835541,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-205.71003696489018,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.62362940412635,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-50.994276832680804,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.34081468113669,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.3340507030229,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.5256756795528,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-310.45866008174835,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 5}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.20982119062728,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.50621828784347,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.72511813884843,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.68062915540153,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.87756104512924,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.18278462168689,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.28044113156669,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,4,-213.33486497945017,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 3}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.78641303815628,"{0: 14, 1: 6, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-143.79678972348006,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-132.22120690442108,"{0: 20, 1: 4, 2: 2, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-104.3302783084271,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-192.57057835497054,"{0: 13, 1: 5, 2: 10, 3: 0, 4: 2}",0
